"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Ceremony","CeremonyYear"
"Best Director",NA,"Stairway to Heaven","Event-12-1946","tt0038733","Stairway to Heaven","nm0003836","Michael Powell",NA,NA,"012","1946"
"Best Film","Winner",NA,"Event-12-1946","tt0036868","The Best Years of Our Lives",NA,NA,NA,NA,"012","1946"
"Best Film",NA,NA,"Event-12-1946","tt0036910","Henry V",NA,NA,NA,NA,"012","1946"
"Best Film",NA,NA,"Event-12-1946","tt0038733","Stairway to Heaven",NA,NA,NA,NA,"012","1946"
"Best Foreign Language Film","Winner",NA,"Event-12-1946","tt0038890","Rome, Open City",NA,NA,NA,NA,"012","1946"
"Best Foreign Language Film",NA,NA,"Event-12-1946","tt0033603","The Well-Digger's Daughter",NA,NA,NA,NA,"012","1946"
"Best Foreign Language Film",NA,NA,"Event-12-1946",NA,NA,NA,NA,NA,NA,"012","1946"
"Best Actor","Winner","Life with Father, The Senator Was Indiscreet","Event-13-1947","tt0039566","Life with Father","nm0001635","William Powell",NA,NA,"013","1947"
"Best Actor","Winner","Life with Father, The Senator Was Indiscreet","Event-13-1947","tt0039811","The Senator Was Indiscreet","nm0001635","William Powell",NA,NA,"013","1947"
"Best Actor",NA,"Body and Soul","Event-13-1947","tt0039204","Body and Soul","nm0002092","John Garfield",NA,NA,"013","1947"
"Best Actress","Winner","Black Narcissus, I See a Dark Stranger","Event-13-1947","tt0039192","Black Narcissus","nm0000039","Deborah Kerr",NA,NA,"013","1947"
"Best Actress","Winner","Black Narcissus, I See a Dark Stranger","Event-13-1947","tt0038289","I See a Dark Stranger","nm0000039","Deborah Kerr",NA,NA,"013","1947"
"Best Actress",NA,"Gentleman's Agreement","Event-13-1947","tt0039416","Gentleman's Agreement","nm0002141","Celeste Holm",NA,NA,"013","1947"
"Best Actress",NA,"Gentleman's Agreement","Event-13-1947","tt0039416","Gentleman's Agreement","nm0570192","Dorothy McGuire",NA,NA,"013","1947"
"Best Actress",NA,"Black Narcissus","Event-13-1947","tt0039192","Black Narcissus","nm0126402","Kathleen Byron",NA,NA,"013","1947"
"Best Director","Winner","Gentleman's Agreement, Boomerang!","Event-13-1947","tt0039416","Gentleman's Agreement","nm0001415","Elia Kazan",NA,NA,"013","1947"
"Best Director","Winner","Gentleman's Agreement, Boomerang!","Event-13-1947","tt0039208","Boomerang!","nm0001415","Elia Kazan",NA,NA,"013","1947"
"Best Director",NA,"Crossfire","Event-13-1947","tt0039286","Crossfire","nm0229424","Edward Dmytryk",NA,NA,"013","1947"
"Best Director",NA,"The Fugitive","Event-13-1947","tt0039402","The Fugitive","nm0000406","John Ford",NA,NA,"013","1947"
"Best Film","Winner",NA,"Event-13-1947","tt0039416","Gentleman's Agreement",NA,NA,NA,NA,"013","1947"
"Best Film",NA,NA,"Event-13-1947","tt0038574","Great Expectations",NA,NA,NA,NA,"013","1947"
"Best Film",NA,NA,"Event-13-1947","tt0039286","Crossfire",NA,NA,NA,NA,"013","1947"
"Best Foreign Language Film","Winner",NA,"Event-13-1947","tt0039966","To Live in Peace",NA,NA,NA,NA,"013","1947"
"Best Foreign Language Film",NA,NA,"Event-13-1947","tt0038824","Panique",NA,NA,NA,NA,"013","1947"
"Best Foreign Language Film",NA,NA,"Event-13-1947","tt0038913","Shoeshine",NA,NA,NA,NA,"013","1947"
"Best Actor","Winner","Hamlet","Event-14-1948","tt0040416","Hamlet","nm0000059","Laurence Olivier",NA,NA,"014","1948"
"Best Actor",NA,"The Treasure of the Sierra Madre","Event-14-1948","tt0040897","The Treasure of the Sierra Madre","nm0404158","Walter Huston",NA,NA,"014","1948"
"Best Actor",NA,"The Search","Event-14-1948","tt0040765","The Search","nm0417389","Ivan Jandl",NA,NA,"014","1948"
"Best Actress","Winner","The Snake Pit","Event-14-1948","tt0040806","The Snake Pit","nm0000014","Olivia de Havilland",NA,NA,"014","1948"
"Best Actress",NA,NA,"Event-14-1948",NA,NA,NA,NA,NA,NA,"014","1948"
"Best Director","Winner","The Treasure of the Sierra Madre","Event-14-1948","tt0040897","The Treasure of the Sierra Madre","nm0001379","John Huston",NA,NA,"014","1948"
"Best Director",NA,"Hamlet","Event-14-1948","tt0040416","Hamlet","nm0000059","Laurence Olivier",NA,NA,"014","1948"
"Best Film","Winner",NA,"Event-14-1948","tt0040897","The Treasure of the Sierra Madre",NA,NA,NA,NA,"014","1948"
"Best Film",NA,NA,"Event-14-1948","tt0040416","Hamlet",NA,NA,NA,NA,"014","1948"
"Best Film",NA,NA,"Event-14-1948","tt0040806","The Snake Pit",NA,NA,NA,NA,"014","1948"
"Best Foreign Language Film","Winner",NA,"Event-14-1948","tt0038823","Paisan",NA,NA,NA,NA,"014","1948"
"Best Foreign Language Film",NA,NA,"Event-14-1948","tt0035230","The Bigamist",NA,NA,NA,NA,"014","1948"
"Best Foreign Language Film",NA,NA,"Event-14-1948","tt0039632","Monsieur Vincent",NA,NA,NA,NA,"014","1948"
"Best Actor","Winner","All the King's Men","Event-15-1949","tt0041113","All the King's Men","nm0002024","Broderick Crawford",NA,NA,"015","1949"
"Best Actor",NA,"The Fallen Idol, The Heiress","Event-15-1949","tt0040338","The Fallen Idol","nm0724732","Ralph Richardson",NA,NA,"015","1949"
"Best Actor",NA,"The Fallen Idol, The Heiress","Event-15-1949","tt0041452","The Heiress","nm0724732","Ralph Richardson",NA,NA,"015","1949"
"Best Actor",NA,"Intruder in the Dust","Event-15-1949","tt0041513","Intruder in the Dust","nm0379621","Juano Hernandez",NA,NA,"015","1949"
"Best Actress","Winner","The Heiress","Event-15-1949","tt0041452","The Heiress","nm0000014","Olivia de Havilland",NA,NA,"015","1949"
"Best Actress",NA,"Woman of Dolwyn, The Queen of Spades","Event-15-1949","tt0041579","Woman of Dolwyn","nm0262725","Edith Evans",NA,NA,"015","1949"
"Best Actress",NA,"Woman of Dolwyn, The Queen of Spades","Event-15-1949","tt0041776","The Queen of Spades","nm0262725","Edith Evans",NA,NA,"015","1949"
"Best Actress",NA,"All the King's Men","Event-15-1949","tt0041113","All the King's Men","nm0564790","Mercedes McCambridge",NA,NA,"015","1949"
"Best Director","Winner","The Fallen Idol","Event-15-1949","tt0040338","The Fallen Idol","nm0715346","Carol Reed",NA,NA,"015","1949"
"Best Director",NA,"Intruder in the Dust","Event-15-1949","tt0041513","Intruder in the Dust","nm0113284","Clarence Brown",NA,NA,"015","1949"
"Best Film","Winner",NA,"Event-15-1949","tt0041113","All the King's Men",NA,NA,NA,NA,"015","1949"
"Best Film",NA,NA,"Event-15-1949","tt0041513","Intruder in the Dust",NA,NA,NA,NA,"015","1949"
"Best Film",NA,NA,"Event-15-1949","tt0040338","The Fallen Idol",NA,NA,NA,NA,"015","1949"
"Best Foreign Language Film","Winner",NA,"Event-15-1949","tt0040522","Bicycle Thieves",NA,NA,NA,NA,"015","1949"
"Best Foreign Language Film",NA,NA,"Event-15-1949","tt0040079","The Affair Blum",NA,NA,NA,NA,"015","1949"
"Best Foreign Language Film",NA,NA,"Event-15-1949","tt0038476","Devil in the Flesh",NA,NA,NA,NA,"015","1949"
"Best Foreign Language Film",NA,NA,"Event-15-1949","tt0040674","The Last Stage",NA,NA,NA,NA,"015","1949"
"Best Actor","Winner","Twelve O'Clock High","Event-16-1950","tt0041996","Twelve O'Clock High","nm0000060","Gregory Peck",NA,NA,"016","1950"
"Best Actor",NA,"Cyrano de Bergerac","Event-16-1950","tt0042367","Cyrano de Bergerac","nm0001207","José Ferrer",NA,NA,"016","1950"
"Best Actor",NA,"Kind Hearts and Coronets","Event-16-1950","tt0041546","Kind Hearts and Coronets","nm0000027","Alec Guinness",NA,NA,"016","1950"
"Best Actress","Winner","All About Eve","Event-16-1950","tt0042192","All About Eve","nm0000012","Bette Davis",NA,NA,"016","1950"
"Best Actress",NA,"Born Yesterday","Event-16-1950","tt0042276","Born Yesterday","nm0391062","Judy Holliday",NA,NA,"016","1950"
"Best Actress",NA,"Sunset Blvd.","Event-16-1950","tt0043014","Sunset Blvd.","nm0841797","Gloria Swanson",NA,NA,"016","1950"
"Best Director","Winner","All About Eve","Event-16-1950","tt0042192","All About Eve","nm0000581","Joseph L. Mankiewicz",NA,NA,"016","1950"
"Best Director",NA,"The Asphalt Jungle","Event-16-1950","tt0042208","The Asphalt Jungle","nm0001379","John Huston",NA,NA,"016","1950"
"Best Director",NA,"Sunset Blvd.","Event-16-1950","tt0043014","Sunset Blvd.","nm0000697","Billy Wilder",NA,NA,"016","1950"
"Best Film","Winner",NA,"Event-16-1950","tt0042192","All About Eve",NA,NA,NA,NA,"016","1950"
"Best Film",NA,NA,"Event-16-1950","tt0043014","Sunset Blvd.",NA,NA,NA,NA,"016","1950"
"Best Film",NA,NA,"Event-16-1950","tt0042395","Devil's Doorway",NA,NA,NA,NA,"016","1950"
"Best Film",NA,NA,"Event-16-1950","tt0042208","The Asphalt Jungle",NA,NA,NA,NA,"016","1950"
"Best Foreign Language Film","Winner",NA,"Event-16-1950","tt0040092","L'amore",NA,NA,NA,NA,"016","1950"
"Best Foreign Language Film",NA,NA,"Event-16-1950","tt0024196","Jofroi",NA,NA,NA,NA,"016","1950"
"Best Actor","Winner","Bright Victory","Event-17-1951","tt0043361","Bright Victory","nm0447913","Arthur Kennedy",NA,NA,"017","1951"
"Best Actor",NA,"A Streetcar Named Desire","Event-17-1951","tt0044081","A Streetcar Named Desire","nm0000008","Marlon Brando",NA,NA,"017","1951"
"Best Actress","Winner","A Streetcar Named Desire","Event-17-1951","tt0044081","A Streetcar Named Desire","nm0000046","Vivien Leigh",NA,NA,"017","1951"
"Best Actress",NA,"A Place in the Sun","Event-17-1951","tt0043924","A Place in the Sun","nm0001859","Shelley Winters",NA,NA,"017","1951"
"Best Director","Winner","A Streetcar Named Desire","Event-17-1951","tt0044081","A Streetcar Named Desire","nm0001415","Elia Kazan",NA,NA,"017","1951"
"Best Director",NA,"A Place in the Sun","Event-17-1951","tt0043924","A Place in the Sun","nm0828419","George Stevens",NA,NA,"017","1951"
"Best Film","Winner",NA,"Event-17-1951","tt0044081","A Streetcar Named Desire",NA,NA,NA,NA,"017","1951"
"Best Film",NA,NA,"Event-17-1951","tt0043972","The River",NA,NA,NA,NA,"017","1951"
"Best Foreign Language Film","Winner",NA,"Event-17-1951","tt0043809","Miracle in Milan",NA,NA,NA,NA,"017","1951"
"Best Foreign Language Film",NA,NA,"Event-17-1951","tt0042876","Rashomon",NA,NA,NA,NA,"017","1951"
"Best Actor","Winner","The Sound Barrier","Event-18-1952","tt0044446","The Sound Barrier","nm0724732","Ralph Richardson",NA,NA,"018","1952"
