"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Ceremony","CeremonyYear"
"Best Documentary/Non-Fiction Film",NA,"Chris Hegedus, Jehane Noujaim","Event-27-2001","tt0256408","Startup.com","nm0636675","Jehane Noujaim",NA,NA,"027","2001"
"Best Foreign Film","Winner","Danis Tanovic","Event-27-2001","tt0283509","No Man's Land","nm0849786","Danis Tanovic",NA,NA,"027","2001"
"Best Foreign Film",NA,"Kar-Wai Wong","Event-27-2001","tt0118694","In the Mood for Love","nm0939182","Kar-Wai Wong",NA,NA,"027","2001"
"Best Music","Winner","Howard Shore","Event-27-2001","tt0120737","The Lord of the Rings: The Fellowship of the Ring","nm0006290","Howard Shore",NA,NA,"027","2001"
"Best Music",NA,"John Cameron Mitchell","Event-27-2001","tt0248845","Hedwig and the Angry Inch","nm0593463","John Cameron Mitchell",NA,NA,"027","2001"
"Best Picture","Winner",NA,"Event-27-2001","tt0247425","In the Bedroom",NA,NA,NA,NA,"027","2001"
"Best Picture",NA,NA,"Event-27-2001","tt0166924","Mulholland Drive",NA,NA,NA,NA,"027","2001"
"Best Production Design","Winner","Catherine Martin","Event-27-2001","tt0203009","Moulin Rouge!","nm0552039","Catherine Martin",NA,NA,"027","2001"
"Best Production Design",NA,"Grant Major","Event-27-2001","tt0120737","The Lord of the Rings: The Fellowship of the Ring","nm0538194","Grant Major",NA,NA,"027","2001"
"Best Screenplay","Winner","Christopher Nolan","Event-27-2001","tt0209144","Memento","nm0634240","Christopher Nolan",NA,NA,"027","2001"
"Best Screenplay",NA,"Terry Zwigoff, Daniel Clowes","Event-27-2001","tt0162346","Ghost World","nm0959062","Terry Zwigoff",NA,NA,"027","2001"
"Best Screenplay",NA,"Terry Zwigoff, Daniel Clowes","Event-27-2001","tt0162346","Ghost World","nm0167280","Daniel Clowes",NA,NA,"027","2001"
"Best Supporting Actor","Winner","Moulin Rouge!, Iris","Event-27-2001","tt0203009","Moulin Rouge!","nm0000980","Jim Broadbent",NA,NA,"027","2001"
"Best Supporting Actor","Winner","Moulin Rouge!, Iris","Event-27-2001","tt0280778","Iris","nm0000980","Jim Broadbent",NA,NA,"027","2001"
"Best Supporting Actor",NA,"Sexy Beast","Event-27-2001","tt0203119","Sexy Beast","nm0001426","Ben Kingsley",NA,NA,"027","2001"
"Best Supporting Actress","Winner","Iris","Event-27-2001","tt0280778","Iris","nm0000701","Kate Winslet",NA,NA,"027","2001"
"Best Supporting Actress",NA,"Gosford Park, Last Orders","Event-27-2001","tt0280707","Gosford Park","nm0000545","Helen Mirren",NA,NA,"027","2001"
"Best Supporting Actress",NA,"Gosford Park, Last Orders","Event-27-2001","tt0253200","Last Orders","nm0000545","Helen Mirren",NA,NA,"027","2001"
"Best Actor","Winner","Gangs of New York","Event-28-2002","tt0217505","Gangs of New York","nm0000358","Daniel Day-Lewis",NA,NA,"028","2002"
"Best Actor","Winner","About Schmidt","Event-28-2002","tt0257360","About Schmidt","nm0000197","Jack Nicholson",NA,NA,"028","2002"
"Best Actress","Winner","Far from Heaven, The Hours","Event-28-2002","tt0297884","Far from Heaven","nm0000194","Julianne Moore",NA,NA,"028","2002"
"Best Actress","Winner","Far from Heaven, The Hours","Event-28-2002","tt0274558","The Hours","nm0000194","Julianne Moore",NA,NA,"028","2002"
"Best Actress",NA,"The Piano Teacher","Event-28-2002","tt0254686","The Piano Teacher","nm0001376","Isabelle Huppert",NA,NA,"028","2002"
"Best Animation","Winner","Hayao Miyazaki","Event-28-2002","tt0245429","Spirited Away","nm0594503","Hayao Miyazaki",NA,NA,"028","2002"
"Best Cinematography","Winner","Edward Lachman","Event-28-2002","tt0297884","Far from Heaven","nm0005767","Edward Lachman",NA,NA,"028","2002"
"Best Cinematography",NA,"Conrad L. Hall","Event-28-2002","tt0257044","Road to Perdition","nm0005734","Conrad L. Hall",NA,NA,"028","2002"
"Best Director","Winner","Talk to Her","Event-28-2002","tt0287467","Talk to Her","nm0000264","Pedro Almodóvar",NA,NA,"028","2002"
"Best Director",NA,"Far from Heaven","Event-28-2002","tt0297884","Far from Heaven","nm0001331","Todd Haynes",NA,NA,"028","2002"
"Best Documentary/Non-Fiction Film","Winner","David Weissman, Bill Weber","Event-28-2002","tt0303321","The Cockettes","nm0918847","David Weissman",NA,NA,"028","2002"
"Best Documentary/Non-Fiction Film","Winner","David Weissman, Bill Weber","Event-28-2002","tt0303321","The Cockettes","nm0916501","Bill Weber",NA,NA,"028","2002"
"Best Documentary/Non-Fiction Film",NA,"Michael Moore","Event-28-2002","tt0310793","Bowling for Columbine","nm0601619","Michael Moore",NA,NA,"028","2002"
"Best Foreign Film","Winner","Alfonso Cuarón","Event-28-2002","tt0245574","And Your Mother Too","nm0190859","Alfonso Cuarón",NA,NA,"028","2002"
"Best Foreign Film",NA,"Pedro Almodóvar","Event-28-2002","tt0287467","Talk to Her","nm0000264","Pedro Almodóvar",NA,NA,"028","2002"
"Best Music","Winner","Elmer Bernstein","Event-28-2002","tt0297884","Far from Heaven","nm0000930","Elmer Bernstein",NA,NA,"028","2002"
"Best Music",NA,"Philip Glass","Event-28-2002","tt0274558","The Hours","nm0001275","Philip Glass",NA,NA,"028","2002"
"Best Picture","Winner",NA,"Event-28-2002","tt0257360","About Schmidt",NA,NA,NA,NA,"028","2002"
"Best Picture",NA,NA,"Event-28-2002","tt0297884","Far from Heaven",NA,NA,NA,NA,"028","2002"
"Best Production Design","Winner","Dante Ferretti","Event-28-2002","tt0217505","Gangs of New York","nm0274721","Dante Ferretti",NA,NA,"028","2002"
"Best Production Design",NA,"Mark Friedberg","Event-28-2002","tt0297884","Far from Heaven","nm0295004","Mark Friedberg",NA,NA,"028","2002"
"Best Screenplay","Winner","Alexander Payne, Jim Taylor","Event-28-2002","tt0257360","About Schmidt","nm0668247","Alexander Payne",NA,NA,"028","2002"
"Best Screenplay","Winner","Alexander Payne, Jim Taylor","Event-28-2002","tt0257360","About Schmidt","nm0852591","Jim Taylor",NA,NA,"028","2002"
"Best Screenplay",NA,"Charlie Kaufman","Event-28-2002","tt0268126","Adaptation.","nm0442109","Charlie Kaufman",NA,NA,"028","2002"
"Best Supporting Actor","Winner","Adaptation.","Event-28-2002","tt0268126","Adaptation.","nm0177933","Chris Cooper",NA,NA,"028","2002"
"Best Supporting Actor",NA,"Catch Me If You Can","Event-28-2002","tt0264464","Catch Me If You Can","nm0000686","Christopher Walken",NA,NA,"028","2002"
"Best Supporting Actress","Winner","Sunshine State","Event-28-2002","tt0286179","Sunshine State","nm0004908","Edie Falco",NA,NA,"028","2002"
"Best Supporting Actress",NA,"About Schmidt","Event-28-2002","tt0257360","About Schmidt","nm0000870","Kathy Bates",NA,NA,"028","2002"
"Best Actor","Winner","Lost in Translation","Event-29-2003","tt0335266","Lost in Translation","nm0000195","Bill Murray",NA,NA,"029","2003"
"Best Actor",NA,"21 Grams, Mystic River","Event-29-2003","tt0315733","21 Grams","nm0000576","Sean Penn",NA,NA,"029","2003"
"Best Actor",NA,"21 Grams, Mystic River","Event-29-2003","tt0327056","Mystic River","nm0000576","Sean Penn",NA,NA,"029","2003"
"Best Actress","Winner","21 Grams","Event-29-2003","tt0315733","21 Grams","nm0915208","Naomi Watts",NA,NA,"029","2003"
"Best Actress",NA,"Monster","Event-29-2003","tt0340855","Monster","nm0000234","Charlize Theron",NA,NA,"029","2003"
"Best Animation","Winner","Sylvain Chomet","Event-29-2003","tt0286244","The Triplets of Belleville","nm0158984","Sylvain Chomet",NA,NA,"029","2003"
"Best Cinematography","Winner","Eduardo Serra","Event-29-2003","tt0335119","Girl with a Pearl Earring","nm0785381","Eduardo Serra",NA,NA,"029","2003"
"Best Cinematography",NA,"Harris Savides","Event-29-2003","tt0363589","Elephant","nm0767647","Harris Savides",NA,NA,"029","2003"
"Best Director","Winner","The Lord of the Rings: The Return of the King","Event-29-2003","tt0167260","The Lord of the Rings: The Return of the King","nm0001392","Peter Jackson",NA,NA,"029","2003"
"Best Director",NA,"Mystic River","Event-29-2003","tt0327056","Mystic River","nm0000142","Clint Eastwood",NA,NA,"029","2003"
"Best Documentary/Non-Fiction Film","Winner","Errol Morris","Event-29-2003","tt0317910","The Fog of War","nm0001554","Errol Morris",NA,NA,"029","2003"
"Best Documentary/Non-Fiction Film",NA,"Andrew Jarecki","Event-29-2003","tt0342172","Capturing the Friedmans","nm1285613","Andrew Jarecki",NA,NA,"029","2003"
"Best Foreign Film","Winner","Patrice Leconte","Event-29-2003","tt0301414","Man on the Train","nm0496312","Patrice Leconte",NA,NA,"029","2003"
"Best Foreign Film",NA,"Fernando Meirelles","Event-29-2003","tt0317248","City of God","nm0576987","Fernando Meirelles",NA,NA,"029","2003"
"Best Music","Winner","Benoît Charest, Matthieu Chedid","Event-29-2003","tt0286244","The Triplets of Belleville","nm0152844","Benoît Charest",NA,NA,"029","2003"
"Best Music","Winner","Benoît Charest, Matthieu Chedid","Event-29-2003","tt0286244","The Triplets of Belleville","nm1342060","Matthieu Chedid",NA,NA,"029","2003"
"Best Music",NA,"Catherine O'Hara, Annette O'Toole, Christopher Guest, Harry Shearer, CJ Vanston, Michael McKean, Eugene Levy, John Michael Higgins","Event-29-2003","tt0310281","A Mighty Wind","nm0001573","Catherine O'Hara",NA,NA,"029","2003"
"Best Music",NA,"Catherine O'Hara, Annette O'Toole, Christopher Guest, Harry Shearer, CJ Vanston, Michael McKean, Eugene Levy, John Michael Higgins","Event-29-2003","tt0310281","A Mighty Wind","nm0001578","Annette O'Toole",NA,NA,"029","2003"
"Best Music",NA,"Catherine O'Hara, Annette O'Toole, Christopher Guest, Harry Shearer, CJ Vanston, Michael McKean, Eugene Levy, John Michael Higgins","Event-29-2003","tt0310281","A Mighty Wind","nm0001302","Christopher Guest",NA,NA,"029","2003"
"Best Music",NA,"Catherine O'Hara, Annette O'Toole, Christopher Guest, Harry Shearer, CJ Vanston, Michael McKean, Eugene Levy, John Michael Higgins","Event-29-2003","tt0310281","A Mighty Wind","nm0733427","Harry Shearer",NA,NA,"029","2003"
"Best Music",NA,"Catherine O'Hara, Annette O'Toole, Christopher Guest, Harry Shearer, CJ Vanston, Michael McKean, Eugene Levy, John Michael Higgins","Event-29-2003","tt0310281","A Mighty Wind","nm0889350","CJ Vanston",NA,NA,"029","2003"
"Best Music",NA,"Catherine O'Hara, Annette O'Toole, Christopher Guest, Harry Shearer, CJ Vanston, Michael McKean, Eugene Levy, John Michael Higgins","Event-29-2003","tt0310281","A Mighty Wind","nm0571106","Michael McKean",NA,NA,"029","2003"
"Best Music",NA,"Catherine O'Hara, Annette O'Toole, Christopher Guest, Harry Shearer, CJ Vanston, Michael McKean, Eugene Levy, John Michael Higgins","Event-29-2003","tt0310281","A Mighty Wind","nm0506405","Eugene Levy",NA,NA,"029","2003"
"Best Music",NA,"Catherine O'Hara, Annette O'Toole, Christopher Guest, Harry Shearer, CJ Vanston, Michael McKean, Eugene Levy, John Michael Higgins","Event-29-2003","tt0310281","A Mighty Wind","nm0383422","John Michael Higgins",NA,NA,"029","2003"
"Best Picture","Winner",NA,"Event-29-2003","tt0305206","American Splendor",NA,NA,NA,NA,"029","2003"
"Best Picture",NA,NA,"Event-29-2003","tt0335266","Lost in Translation",NA,NA,NA,NA,"029","2003"
"Best Production Design","Winner","Grant Major","Event-29-2003","tt0167260","The Lord of the Rings: The Return of the King","nm0538194","Grant Major",NA,NA,"029","2003"
"Best Production Design",NA,"William Sandell","Event-29-2003","tt0311113","Master and Commander: The Far Side of the World","nm0761367","William Sandell",NA,NA,"029","2003"
"Best Screenplay","Winner","Shari Springer Berman, Robert Pulcini","Event-29-2003","tt0305206","American Splendor","nm0075849","Shari Springer Berman",NA,NA,"029","2003"
"Best Screenplay","Winner","Shari Springer Berman, Robert Pulcini","Event-29-2003","tt0305206","American Splendor","nm0700301","Robert Pulcini",NA,NA,"029","2003"
"Best Screenplay",NA,"Steven Knight","Event-29-2003","tt0301199","Dirty Pretty Things","nm1140275","Steven Knight",NA,NA,"029","2003"
"Best Supporting Actor","Winner","AKA, I Capture the Castle, Lawless Heart, Love Actually","Event-29-2003","tt0317052","AKA","nm0631490","Bill Nighy",NA,NA,"029","2003"
"Best Supporting Actor","Winner","AKA, I Capture the Castle, Lawless Heart, Love Actually","Event-29-2003","tt0300015","I Capture the Castle","nm0631490","Bill Nighy",NA,NA,"029","2003"
"Best Supporting Actor","Winner","AKA, I Capture the Castle, Lawless Heart, Love Actually","Event-29-2003","tt0276276","Lawless Heart","nm0631490","Bill Nighy",NA,NA,"029","2003"
"Best Supporting Actor","Winner","AKA, I Capture the Castle, Lawless Heart, Love Actually","Event-29-2003","tt0314331","Love Actually","nm0631490","Bill Nighy",NA,NA,"029","2003"
"Best Supporting Actor",NA,"21 Grams","Event-29-2003","tt0315733","21 Grams","nm0001125","Benicio Del Toro",NA,NA,"029","2003"
"Best Supporting Actress","Winner","House of Sand and Fog","Event-29-2003","tt0315983","House of Sand and Fog","nm0013037","Shohreh Aghdashloo",NA,NA,"029","2003"
"Best Supporting Actress",NA,"21 Grams","Event-29-2003","tt0315733","21 Grams","nm0502425","Melissa Leo",NA,NA,"029","2003"
"Best Actor","Winner","The Goodbye Girl","Event-3-1977","tt0076095","The Goodbye Girl","nm0000377","Richard Dreyfuss",NA,NA,"003","1977"
"Best Actress","Winner","3 Women","Event-3-1977","tt0075612","3 Women","nm0001167","Shelley Duvall",NA,NA,"003","1977"
"Best Cinematography","Winner","Douglas Slocombe","Event-3-1977","tt0076245","Julia","nm0005878","Douglas Slocombe",NA,NA,"003","1977"
"Best Director","Winner","The Turning Point","Event-3-1977","tt0076843","The Turning Point","nm0006889","Herbert Ross",NA,NA,"003","1977"
"Best Foreign Film","Winner","Luis Buñuel","Event-3-1977","tt0075824","That Obscure Object of Desire","nm0000320","Luis Buñuel",NA,NA,"003","1977"
"Best Music","Winner","John Williams","Event-3-1977","tt0076759","Star Wars: Episode IV - A New Hope","nm0002354","John Williams",NA,NA,"003","1977"
"Best Picture","Winner",NA,"Event-3-1977","tt0076759","Star Wars: Episode IV - A New Hope",NA,NA,NA,NA,"003","1977"
"Best Screenplay","Winner","Woody Allen, Marshall Brickman","Event-3-1977","tt0075686","Annie Hall","nm0000095","Woody Allen",NA,NA,"003","1977"
"Best Screenplay","Winner","Woody Allen, Marshall Brickman","Event-3-1977","tt0075686","Annie Hall","nm0108613","Marshall Brickman",NA,NA,"003","1977"
"Best Supporting Actor","Winner","Julia","Event-3-1977","tt0076245","Julia","nm0001673","Jason Robards",NA,NA,"003","1977"
"Best Supporting Actress","Winner","Julia","Event-3-1977","tt0076245","Julia","nm0000603","Vanessa Redgrave",NA,NA,"003","1977"
"Best Actor","Winner","Kinsey","Event-30-2004","tt0362269","Kinsey","nm0000553","Liam Neeson",NA,NA,"030","2004"
"Best Actor",NA,"Sideways","Event-30-2004","tt0375063","Sideways","nm0316079","Paul Giamatti",NA,NA,"030","2004"
"Best Actress","Winner","Vera Drake","Event-30-2004","tt0383694","Vera Drake","nm0001767","Imelda Staunton",NA,NA,"030","2004"
"Best Actress",NA,"Before Sunset","Event-30-2004","tt0381681","Before Sunset","nm0000365","Julie Delpy",NA,NA,"030","2004"
"Best Animation","Winner","Brad Bird","Event-30-2004","tt0317705","The Incredibles","nm0083348","Brad Bird",NA,NA,"030","2004"
"Best Cinematography","Winner","Dion Beebe, Paul Cameron","Event-30-2004","tt0369339","Collateral","nm0066244","Dion Beebe",NA,NA,"030","2004"
"Best Cinematography","Winner","Dion Beebe, Paul Cameron","Event-30-2004","tt0369339","Collateral","nm0131700","Paul Cameron",NA,NA,"030","2004"
"Best Cinematography",NA,"Xiaoding Zhao","Event-30-2004","tt0385004","House of Flying Daggers","nm1618536","Xiaoding Zhao",NA,NA,"030","2004"
"Best Director","Winner","Sideways","Event-30-2004","tt0375063","Sideways","nm0668247","Alexander Payne",NA,NA,"030","2004"
"Best Director",NA,"The Aviator","Event-30-2004","tt0338751","The Aviator","nm0000217","Martin Scorsese",NA,NA,"030","2004"
"Best Documentary/Non-Fiction Film","Winner","Zana Briski, Ross Kauffman","Event-30-2004","tt0388789","Born Into Brothels: Calcutta's Red Light Kids","nm1498640","Zana Briski",NA,NA,"030","2004"
"Best Documentary/Non-Fiction Film","Winner","Zana Briski, Ross Kauffman","Event-30-2004","tt0388789","Born Into Brothels: Calcutta's Red Light Kids","nm1502104","Ross Kauffman",NA,NA,"030","2004"
"Best Documentary/Non-Fiction Film",NA,"Michael Moore","Event-30-2004","tt0361596","Fahrenheit 9/11","nm0601619","Michael Moore",NA,NA,"030","2004"
"Best Foreign Film","Winner","Yimou Zhang","Event-30-2004","tt0385004","House of Flying Daggers","nm0955443","Yimou Zhang",NA,NA,"030","2004"
"Best Foreign Film",NA,"Walter Salles","Event-30-2004","tt0318462","The Motorcycle Diaries","nm0758574","Walter Salles",NA,NA,"030","2004"
"Best Music","Winner","Michael Giacchino","Event-30-2004","tt0317705","The Incredibles","nm0315974","Michael Giacchino",NA,NA,"030","2004"
"Best Music",NA,"Alexandre Desplat","Event-30-2004","tt0337876","Birth","nm0006035","Alexandre Desplat",NA,NA,"030","2004"
"Best Picture","Winner",NA,"Event-30-2004","tt0375063","Sideways",NA,NA,NA,NA,"030","2004"
"Best Picture",NA,NA,"Event-30-2004","tt0405159","Million Dollar Baby",NA,NA,NA,NA,"030","2004"
"Best Production Design","Winner","Dante Ferretti","Event-30-2004","tt0338751","The Aviator","nm0274721","Dante Ferretti",NA,NA,"030","2004"
"Best Production Design",NA,"Tingxiao Huo","Event-30-2004","tt0385004","House of Flying Daggers","nm0403229","Tingxiao Huo",NA,NA,"030","2004"
"Best Screenplay","Winner","Alexander Payne, Jim Taylor","Event-30-2004","tt0375063","Sideways","nm0668247","Alexander Payne",NA,NA,"030","2004"
"Best Screenplay","Winner","Alexander Payne, Jim Taylor","Event-30-2004","tt0375063","Sideways","nm0852591","Jim Taylor",NA,NA,"030","2004"
"Best Screenplay",NA,"Charlie Kaufman","Event-30-2004","tt0338013","Eternal Sunshine of the Spotless Mind","nm0442109","Charlie Kaufman",NA,NA,"030","2004"
"Best Supporting Actor","Winner","Sideways","Event-30-2004","tt0375063","Sideways","nm0002006","Thomas Haden Church",NA,NA,"030","2004"
"Best Supporting Actor",NA,"Million Dollar Baby","Event-30-2004","tt0405159","Million Dollar Baby","nm0000151","Morgan Freeman",NA,NA,"030","2004"
"Best Supporting Actress","Winner","Sideways","Event-30-2004","tt0375063","Sideways","nm0000515","Virginia Madsen",NA,NA,"030","2004"
"Best Supporting Actress",NA,"Coffee and Cigarettes, The Aviator","Event-30-2004","tt0379217","Coffee and Cigarettes","nm0000949","Cate Blanchett",NA,NA,"030","2004"
"Best Supporting Actress",NA,"Coffee and Cigarettes, The Aviator","Event-30-2004","tt0338751","The Aviator","nm0000949","Cate Blanchett",NA,NA,"030","2004"
"Best Actor","Winner","Capote","Event-31-2005","tt0379725","Capote","nm0000450","Philip Seymour Hoffman",NA,NA,"031","2005"
"Best Actor",NA,"Brokeback Mountain","Event-31-2005","tt0388795","Brokeback Mountain","nm0005132","Heath Ledger",NA,NA,"031","2005"
"Best Actress","Winner","Down to the Bone","Event-31-2005","tt0363579","Down to the Bone","nm0267812","Vera Farmiga",NA,NA,"031","2005"
"Best Actress",NA,"Mrs. Henderson Presents","Event-31-2005","tt0413015","Mrs. Henderson Presents","nm0001132","Judi Dench",NA,NA,"031","2005"
"Best Animation","Winner","Steve Box, Nick Park","Event-31-2005","tt0312004","Wallace & Gromit: The Curse of the Were-Rabbit","nm0101508","Steve Box",NA,NA,"031","2005"
"Best Animation","Winner","Steve Box, Nick Park","Event-31-2005","tt0312004","Wallace & Gromit: The Curse of the Were-Rabbit","nm0661910","Nick Park",NA,NA,"031","2005"
"Best Cinematography","Winner","Robert Elswit","Event-31-2005","tt0433383","Good Night, and Good Luck.","nm0005696","Robert Elswit",NA,NA,"031","2005"
"Best Cinematography",NA,"Christopher Doyle, Pun-Leung Kwan, Yiu-Fai Lai","Event-31-2005","tt0212712","2046","nm0236313","Christopher Doyle",NA,NA,"031","2005"
"Best Cinematography",NA,"Christopher Doyle, Pun-Leung Kwan, Yiu-Fai Lai","Event-31-2005","tt0212712","2046","nm0477095","Pun-Leung Kwan",NA,NA,"031","2005"
"Best Cinematography",NA,"Christopher Doyle, Pun-Leung Kwan, Yiu-Fai Lai","Event-31-2005","tt0212712","2046","nm0481738","Yiu-Fai Lai",NA,NA,"031","2005"
"Best Director","Winner","Brokeback Mountain","Event-31-2005","tt0388795","Brokeback Mountain","nm0000487","Ang Lee",NA,NA,"031","2005"
"Best Director",NA,"A History of Violence","Event-31-2005","tt0399146","A History of Violence","nm0000343","David Cronenberg",NA,NA,"031","2005"
"Best Documentary/Non-Fiction Film","Winner","Werner Herzog","Event-31-2005","tt0427312","Grizzly Man","nm0001348","Werner Herzog",NA,NA,"031","2005"
"Best Documentary/Non-Fiction Film",NA,"Alex Gibney","Event-31-2005","tt1016268","Enron: The Smartest Guys in the Room","nm0316795","Alex Gibney",NA,NA,"031","2005"
"Best Foreign Film","Winner","Michael Haneke","Event-31-2005","tt0387898","Caché (Hidden)","nm0359734","Michael Haneke",NA,NA,"031","2005"
"Best Foreign Film",NA,"Kar-Wai Wong","Event-31-2005","tt0212712","2046","nm0939182","Kar-Wai Wong",NA,NA,"031","2005"
"Best Music","Winner","Joe Hisaishi, Yumi Kimura","Event-31-2005","tt0347149","Howl's Moving Castle","nm0386749","Joe Hisaishi",NA,NA,"031","2005"
"Best Music","Winner","Joe Hisaishi, Yumi Kimura","Event-31-2005","tt0347149","Howl's Moving Castle","nm1175835","Yumi Kimura",NA,NA,"031","2005"
"Best Music",NA,"Ryuichi Sakamoto","Event-31-2005","tt0420260","Tony Takitani","nm0757098","Ryuichi Sakamoto",NA,NA,"031","2005"
"Best Picture","Winner",NA,"Event-31-2005","tt0388795","Brokeback Mountain",NA,NA,NA,NA,"031","2005"
"Best Picture",NA,NA,"Event-31-2005","tt0399146","A History of Violence",NA,NA,NA,NA,"031","2005"
"Best Production Design","Winner","William Chang","Event-31-2005","tt0212712","2046","nm0151858","William Chang",NA,NA,"031","2005"
"Best Production Design",NA,"Jim Bissell","Event-31-2005","tt0433383","Good Night, and Good Luck.","nm0084304","Jim Bissell",NA,NA,"031","2005"
"Best Screenplay","Winner","Dan Futterman","Event-31-2005","tt0379725","Capote","nm0001246","Dan Futterman",NA,NA,"031","2005"
"Best Screenplay","Winner","Noah Baumbach","Event-31-2005","tt0367089","The Squid and the Whale","nm0000876","Noah Baumbach",NA,NA,"031","2005"
"Best Supporting Actor","Winner","A History of Violence","Event-31-2005","tt0399146","A History of Violence","nm0000458","William Hurt",NA,NA,"031","2005"
"Best Supporting Actor",NA,"Good Night, and Good Luck.","Event-31-2005","tt0433383","Good Night, and Good Luck.","nm0001449","Frank Langella",NA,NA,"031","2005"
"Best Supporting Actress","Winner","Capote, The Ballad of Jack and Rose, The 40-Year-Old Virgin, The Interpreter","Event-31-2005","tt0379725","Capote","nm0001416","Catherine Keener",NA,NA,"031","2005"
"Best Supporting Actress","Winner","Capote, The Ballad of Jack and Rose, The 40-Year-Old Virgin, The Interpreter","Event-31-2005","tt0357110","The Ballad of Jack and Rose","nm0001416","Catherine Keener",NA,NA,"031","2005"
"Best Supporting Actress","Winner","Capote, The Ballad of Jack and Rose, The 40-Year-Old Virgin, The Interpreter","Event-31-2005","tt0405422","The 40-Year-Old Virgin","nm0001416","Catherine Keener",NA,NA,"031","2005"
"Best Supporting Actress","Winner","Capote, The Ballad of Jack and Rose, The 40-Year-Old Virgin, The Interpreter","Event-31-2005","tt0373926","The Interpreter","nm0001416","Catherine Keener",NA,NA,"031","2005"
"Best Supporting Actress",NA,"Junebug","Event-31-2005","tt0418773","Junebug","nm0010736","Amy Adams",NA,NA,"031","2005"
"Best Actor","Winner","The Last King of Scotland","Event-32-2006","tt0455590","The Last King of Scotland","nm0001845","Forest Whitaker",NA,NA,"032","2006"
"Best Actor","Winner","Borat","Event-32-2006","tt0443453","Borat","nm0056187","Sacha Baron Cohen",NA,NA,"032","2006"
"Best Actress","Winner","The Queen","Event-32-2006","tt0436697","The Queen","nm0000545","Helen Mirren",NA,NA,"032","2006"
"Best Actress",NA,"Volver","Event-32-2006","tt0441909","Volver","nm0004851","Penélope Cruz",NA,NA,"032","2006"
"Best Animation","Winner","George Miller, Warren Coleman (co-director), Judy Morris (co-director)","Event-32-2006","tt0366548","Happy Feet","nm0004306","George Miller",NA,NA,"032","2006"
"Best Animation","Winner","George Miller, Warren Coleman (co-director), Judy Morris (co-director)","Event-32-2006","tt0366548","Happy Feet","nm0171253","Warren Coleman",NA,NA,"032","2006"
"Best Animation","Winner","George Miller, Warren Coleman (co-director), Judy Morris (co-director)","Event-32-2006","tt0366548","Happy Feet","nm0606688","Judy Morris",NA,NA,"032","2006"
"Best Animation",NA,"John Lasseter, Joe Ranft","Event-32-2006","tt0317219","Cars","nm0005124","John Lasseter",NA,NA,"032","2006"
"Best Animation",NA,"John Lasseter, Joe Ranft","Event-32-2006","tt0317219","Cars","nm0710020","Joe Ranft",NA,NA,"032","2006"
"Best Cinematography","Winner","Emmanuel Lubezki","Event-32-2006","tt0206634","Children of Men","nm0523881","Emmanuel Lubezki",NA,NA,"032","2006"
"Best Cinematography",NA,"Tom Stern","Event-32-2006","tt0498380","Letters from Iwo Jima","nm0827869","Tom Stern",NA,NA,"032","2006"
"Best Director","Winner","United 93","Event-32-2006","tt0475276","United 93","nm0339030","Paul Greengrass",NA,NA,"032","2006"
"Best Director",NA,"Letters from Iwo Jima, Flags of Our Fathers","Event-32-2006","tt0498380","Letters from Iwo Jima","nm0000142","Clint Eastwood",NA,NA,"032","2006"
"Best Director",NA,"Letters from Iwo Jima, Flags of Our Fathers","Event-32-2006","tt0418689","Flags of Our Fathers","nm0000142","Clint Eastwood",NA,NA,"032","2006"
"Best Documentary/Non-Fiction Film","Winner","Davis Guggenheim","Event-32-2006","tt0497116","An Inconvenient Truth","nm0346550","Davis Guggenheim",NA,NA,"032","2006"
"Best Documentary/Non-Fiction Film",NA,"Hubert Sauper","Event-32-2006","tt0424024","Darwin's Nightmare","nm0767012","Hubert Sauper",NA,NA,"032","2006"
"Best Foreign Film","Winner","Florian Henckel von Donnersmarck","Event-32-2006","tt0405094","The Lives of Others","nm0003697","Florian Henckel von Donnersmarck",NA,NA,"032","2006"
"Best Foreign Film",NA,"Pedro Almodóvar","Event-32-2006","tt0441909","Volver","nm0000264","Pedro Almodóvar",NA,NA,"032","2006"
"Best Music","Winner","Alexandre Desplat","Event-32-2006","tt0446755","The Painted Veil","nm0006035","Alexandre Desplat",NA,NA,"032","2006"
"Best Music",NA,"Thomas Newman","Event-32-2006","tt0452624","The Good German","nm0002353","Thomas Newman",NA,NA,"032","2006"
"Best Picture","Winner",NA,"Event-32-2006","tt0498380","Letters from Iwo Jima",NA,NA,NA,NA,"032","2006"
"Best Picture",NA,NA,"Event-32-2006","tt0436697","The Queen",NA,NA,NA,NA,"032","2006"
"Best Production Design","Winner","Eugenio Caballero","Event-32-2006","tt0457430","Pan's Labyrinth","nm0127429","Eugenio Caballero",NA,NA,"032","2006"
"Best Production Design",NA,"Jim Clay, Geoffrey Kirkland, Veronica Falzon","Event-32-2006","tt0206634","Children of Men","nm0165534","Jim Clay",NA,NA,"032","2006"
"Best Production Design",NA,"Jim Clay, Geoffrey Kirkland, Veronica Falzon","Event-32-2006","tt0206634","Children of Men","nm0456644","Geoffrey Kirkland",NA,NA,"032","2006"
