"Const","Year","Title","Title.Type","IMDb.Rating","Your.Rating","Date.Rated","Runtime","Num.Votes"
"tt32133209",2024,"It Doesn't Matter","movie",6.9,NA,NA,86,7
"tt12584954",2024,"Twisters","movie",NA,NA,NA,NA,NA
"tt31189897",2024,"Billy & Molly: An Otter Love Story","movie",8.1,NA,NA,77,574
"tt24176060",2024,"Queer","movie",NA,NA,NA,NA,NA
"tt10462154",2024,"La plus précieuse des marchandises","movie",5.8,NA,NA,81,41
"tt28607951",2024,"Anora","movie",7.6,NA,NA,139,307
"tt16283824",2024,"Eric","tvMiniSeries",7,NA,NA,53,5661
"tt17279496",2024,"Civil War","movie",7.3,NA,NA,109,97511
"tt29794647",2024,"Gaga Chromatica Ball","movie",8.3,NA,NA,117,1183
"tt31800329",2024,"The Wonderful Story of Henry Sugar and Three More","movie",7.2,NA,NA,88,1612
"tt6604188",2025,"Tron: Ares","movie",NA,NA,NA,NA,NA
"tt12299608",2025,"Mickey 17","movie",NA,NA,NA,139,NA
"tt9603208",2025,"Mission: Impossible - Dead Reckoning Part Two","movie",NA,NA,NA,NA,NA
"tt29644189",2025,"The Black Phone 2","movie",NA,NA,NA,NA,NA
"tt0959300",NA,"The Devil in the White City","tvMiniSeries",NA,NA,NA,NA,NA
"tt6342594",NA,"Metropolis","tvMiniSeries",NA,NA,NA,NA,NA
"tt14041896",NA,"The Parenting","movie",NA,NA,NA,NA,NA
"tt1417099",NA,"Spring Awakening","movie",NA,NA,NA,NA,NA
"tt18398986",NA,"Without Blood","movie",NA,NA,NA,NA,NA
"tt9429592",NA,"The Neverending Story","movie",NA,NA,NA,NA,NA
"tt13502666",NA,"Brideshead Revisited","tvMiniSeries",NA,NA,NA,NA,NA
"tt8358388",NA,"A Spy by Nature","movie",NA,NA,NA,NA,NA
"tt10893378",NA,"Merrily We Roll Along","movie",NA,NA,NA,NA,NA
"tt15799524",NA,"The History of Sound","movie",NA,NA,NA,NA,NA
"tt27143535",NA,"It's Christmas!","movie",NA,NA,NA,NA,NA
"tt14905854",NA,"Hamnet","movie",NA,NA,NA,NA,NA
"tt17632174",NA,"The End of Getting Lost","movie",NA,NA,NA,NA,NA
"tt0469609",NA,"Sunset Boulevard","movie",NA,NA,NA,NA,NA
"tt15939198",NA,"Blitz","movie",NA,NA,NA,NA,NA
"tt22893404",NA,"Maria","movie",NA,NA,NA,NA,NA
"tt13623632",NA,"Alien","tvSeries",NA,NA,NA,NA,NA
"tt21045208",NA,"Tow","movie",NA,NA,NA,NA,NA
"tt27657135",NA,"SNL 1975","movie",NA,NA,NA,NA,NA
"tt11563598",NA,"A Complete Unknown","movie",NA,NA,NA,NA,NA
"tt27550504",NA,"Plainclothes","movie",NA,NA,NA,NA,NA
"tt2473700",NA,"Rules of Civility","movie",NA,NA,NA,NA,NA
"tt31720228",NA,"The Lincoln Highway","movie",NA,NA,NA,NA,NA
"tt31512174",NA,"Neuromancer","tvSeries",NA,NA,NA,NA,NA
"tt32267009",NA,"Flesh of the Gods","movie",NA,NA,NA,NA,NA
"tt30253473",NA,"Materialists","movie",NA,NA,NA,NA,NA
"tt32298494",NA,"Late Fame","movie",NA,NA,NA,NA,NA
"tt32321317",NA,"Pillion","movie",NA,NA,NA,NA,NA
"tt9892936",NA,"Cien Años de Soledad","tvSeries",NA,NA,NA,NA,NA
"tt31998881",NA,"Oh. What. Fun.","movie",NA,NA,NA,NA,NA
