"item","imdb","prodid","production"
"http://www.wikidata.org/entity/Q3764984","tt0097433","http://www.wikidata.org/entity/Q19616","RAI"
"http://www.wikidata.org/entity/Q4234382","tt0175824","http://www.wikidata.org/entity/Q158478","Lenfilm"
"http://www.wikidata.org/entity/Q85997053","tt10665342","http://www.wikidata.org/entity/Q168383","Universal Pictures"
"http://www.wikidata.org/entity/Q107394970","tt1001520","http://www.wikidata.org/entity/Q457893","Amblin Entertainment"
"http://www.wikidata.org/entity/Q85997053","tt10665342","http://www.wikidata.org/entity/Q465449","Miramax"
"http://www.wikidata.org/entity/Q25522232","tt0445527","http://www.wikidata.org/entity/Q719998","Tallinnfilm"
"http://www.wikidata.org/entity/Q3764984","tt0097433","http://www.wikidata.org/entity/Q781183","Istituto Luce"
"http://www.wikidata.org/entity/Q7728299","tt0122574","http://www.wikidata.org/entity/Q790756","Barrandov Studios"
"http://www.wikidata.org/entity/Q99900595","tt12593682","http://www.wikidata.org/entity/Q822314","Sony Pictures"
"http://www.wikidata.org/entity/Q115935338","tt0389320","http://www.wikidata.org/entity/Q877188","German Film and Television Academy Berlin"
"http://www.wikidata.org/entity/Q61657535","tt9806222","http://www.wikidata.org/entity/Q1243548","Dor Film"
"http://www.wikidata.org/entity/Q66588922","tt9761042","http://www.wikidata.org/entity/Q1347462","Epo-Film"
"http://www.wikidata.org/entity/Q107394970","tt1001520","http://www.wikidata.org/entity/Q107630578","New Republic Pictures"
"http://www.wikidata.org/entity/Q85997053","tt10665342","http://www.wikidata.org/entity/Q113773691","Rough House Pictures"
"http://www.wikidata.org/entity/Q64689191","tt0227097","http://www.wikidata.org/entity/Q1530721","National Film Board of Canada"
"http://www.wikidata.org/entity/Q111684978","tt15679400","http://www.wikidata.org/entity/Q2906631","Blinding Edge Pictures"
"http://www.wikidata.org/entity/Q14757056","tt0405908","http://www.wikidata.org/entity/Q5389773","Erler Film"
"http://www.wikidata.org/entity/Q108105043","tt14814320","http://www.wikidata.org/entity/Q5401555","Estonian Film Institute"
"http://www.wikidata.org/entity/Q111684978","tt15679400","http://www.wikidata.org/entity/Q5448895","FilmNation Entertainment"
"http://www.wikidata.org/entity/Q7511953","tt10122538","http://www.wikidata.org/entity/Q6379314","Kavithalayaa Productions"
"http://www.wikidata.org/entity/Q4547014","tt1603778","http://www.wikidata.org/entity/Q7392704","SP Entertainments"
"http://www.wikidata.org/entity/Q113269780","tt20452514","http://www.wikidata.org/entity/Q7687354","Taska Film"
"http://www.wikidata.org/entity/Q113455828","tt20850406","http://www.wikidata.org/entity/Q7943939","Vyjayanthi Movies"
"http://www.wikidata.org/entity/Q107394970","tt1001520","http://www.wikidata.org/entity/Q11887890","Phoenix Pictures"
